task,agent,seed,simple_regret,campaign_cash,cumulative_regret,churn,gain,backslide,wasted_fraction,wasted_rounds,committed_rounds,validity_rate,n_designs,n_valid,unit_days_used,parallel_utilisation,n_rejections
T1,random_spread,0,0.04153639488113339,-293.7557823549072,581.5394176408176,0.0,0.15673341554602796,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,random_spread,1,0.0299695524261002,-250.1908090922645,525.8449671722334,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,2,0.030007108248582076,-232.88712577235188,455.68148775731197,0.0,0.03849833079247936,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,random_spread,3,0.043882279784608735,-245.61062022474735,358.4289030698651,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,4,0.012806763152751088,-97.27072837244128,494.36150335649427,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,5,0.021969226843897613,-29.4326871075063,399.19944580689116,0.0,0.05149035358524913,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,random_spread,6,0.012038324352855546,-271.12080597901496,472.5436172756705,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,7,0.02504418348690852,-280.2584843638013,350.8171473872043,1.0,0.0,0.02441005621683562,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,8,0.03880842005341351,-248.76362495186913,354.4371141061233,0.0,0.004387052251406266,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,random_spread,9,0.03454340283061251,-208.89676772217248,399.37937227803013,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,10,0.05736425151613792,-231.8776674981721,410.1541402025183,0.0,0.009774529923820142,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,random_spread,11,0.04257718816105814,-70.1579547088159,286.5838087360811,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,12,0.030563778428741167,-182.82380285601218,555.7755553167622,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,13,0.05935579756936975,-247.92345235797342,403.4622518389825,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,14,0.04749487441198407,-361.34721666783213,407.16429979785755,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T1,random_spread,15,0.01524445622669681,-79.7187616035449,240.70671158063814,nan,0.0,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
