parameter,value,unit,role,interval_low,interval_high,needs_interval,source_doi_or_table
Nm,,node/d,maximum rate of node development,,,YES,
T_opt_N,,°C,optimum temperature for node development,,,,
delta,,m²/node,leaf area increment per node,,,YES,
beta,,1/node,shape parameter of expolinear leaf-area expansion,,,,
Nb,,node,node at the inflection of leaf-area expansion,,,,
LAI_max,,m²/m²,upper limit on leaf area index,,,YES,
tau,,—,CO2 response coefficient of photosynthesis,,,,
E,,g/g,growth conversion efficiency,,,YES,
Qe,,—,apparent quantum efficiency,,,YES,
Rm_ref,,1/d,maintenance respiration coefficient at 20 C,,,YES,
Q10,,—,temperature sensitivity of respiration,,,,
alpha_F,,—,maximum partitioning fraction to fruit,,,YES,
N_FF,,node,node at which fruiting begins,,,,
v,,1/node,rate of transition in fruit partitioning with node number,,,,
kf,,1/d,fruit maturation rate,,,YES,
T_crit,,°C,temperature threshold above which fruit set is inhibited,,,,
